id_perevozki,data_sozdaniya_zakaza,status_perevozki,gruzootpravitel,gruzopoluchatel,tip_gruza,kategorija_perevozki,rasstoyanie_km,gos_nomer_avto,marka_model_avto,tip_kuzova,gruzopodemnost_tonn,id_voditelya,fio_voditelya,kompaniya_perevozchik,punkt_zagruzki,gorod_zagruzki,region_zagruzki,punkt_razgruzki,gorod_razgruzki,region_razgruzki,data_viezda,planovaya_data_pribytiya,fakticheskaya_data_pribytiya,otklonenie_ot_plana_chas,tarif_summa,sebestoimost_perevozki,pribyl,tonnazh_gruza_tonn,obem_gruza_m3,protsent_zagruzki_tonn,protsent_zagruzki_obem,kolichestvo_pozitsiy,kommentariy_perevozki,nalichie_dokumentov
P-000434,2025-08-03 06:06:25,Доставлена,"ЗАО «Назаров, Крылова и Селезнев»",ИП «Тихонов»,Опасный груз,Междугородняя,2365.39,А135КЕ77,Scania R-series,Бортовой,5.0,VOD-6993,Марфа Аскольдовна Игнатьева,Собственный парк,"с. Усть-Ишим, алл. Прибрежная, д. 378 к. 582, 973453",Екатеринбург,Свердловская область,"ст. Мокшан, алл. Фадеева, д. 7/9 стр. 4/8, 327105",Москва,Московская область,2025-07-18 23:40:29,2025-08-19 23:39:08,2025-07-21 03:17:06,-716.37,237431.13,171538.98,65892.15,4.51,14.35,0.9,0.92,95,,Ожидание
P-000435,2025-07-04 09:48:28,Доставлена,ДНС Групп,Попов Лимитед,Оборудование,Международная,1894.6,Х613ХТ77,MAN TGS,Рефрижератор,10.0,VOD-4892,Аксенов Владилен Бориславович,Собственный парк,"п. Когалым, ш. Промышленное, д. 7/4 к. 34, 391055",Мурманск,Мурманская область,"п. Новомосковск, бул. Уральский, д. 8/3, 568073",Омск,Омская область,2025-07-22 00:47:42,2025-07-29 10:55:01,2025-08-14 00:20:40,373.43,234939.92,186026.76,48913.16,6.25,15.73,0.62,0.74,58,,Полный пакет
P-000436,2025-08-11 09:02:16,Доставлена,Кулагин Групп,НПО «Дмитриева-Лыткин»,Опасный груз,Междугородняя,834.39,К731АР77,Volvo FH,Рефрижератор,5.0,VOD-3722,Герасимова Татьяна Матвеевна,Собственный парк,"с. Апшеронск, ул. Угловая, д. 4 стр. 8/9, 679358",Нижний Новгород,Нижегородская область,"к. Саранск, пр. Путевой, д. 22, 504524",Санкт-Петербург,Ленинградская область,2025-07-17 11:10:46,2025-07-17 14:55:55,2025-08-05 16:48:25,457.88,96757.08,67321.59,29435.49,3.74,9.6,0.75,0.84,12,,Полный пакет
P-000437,2025-08-17 17:21:09,Доставлена,РАО «Комиссарова-Новикова»,Рогов Инкорпорэйтед,Опасный груз,Междугородняя,4220.75,Т938ЕА77,КАМАЗ 5490,Фургон,5.0,VOD-9370,Будимир Елисеевич Юдин,Субподрядчик,"г. Чебоксары, ул. Водопроводная, д. 110 стр. 9/1, 123121",Мурманск,Мурманская область,"ст. Муром, наб. Васильковая, д. 59 к. 4/8, 975766",Москва,Московская область,2025-07-22 15:51:10,2025-08-15 02:33:38,2025-08-04 23:34:24,-242.99,465987.44,292541.86,173445.58,3.46,9.74,0.69,0.89,88,,Полный пакет
P-000438,2025-07-15 23:54:39,Доставлена,ПСМА Рус,ИП «Ефремова Красильников»,Стройматериалы,Междугородняя,4727.42,У277ВС77,КАМАЗ 5490,Рефрижератор,20.0,VOD-9187,Герасимов Куприян Гордеевич,Собственный парк,"д. Кущевская, наб. Красноярская, д. 9/9 к. 1, 496816",Новосибирск,Новосибирская область,"ст. Ижевск, ул. Л.Толстого, д. 97 к. 333, 299876",Омск,Омская область,2025-07-04 07:42:19,2025-08-05 15:25:31,2025-08-16 20:04:31,268.65,551272.31,456490.16,94782.15,18.21,58.09,0.91,0.6,17,,Полный пакет
P-000439,2025-08-29 00:51:59,Доставлена,Белозерова Инкорпорэйтед,"НПО «Антонов, Горбунова и Герасимова»",Продукты питания,Междугородняя,4495.9,Т695ОА77,Scania R-series,Рефрижератор,5.0,VOD-9627,Виталий Жанович Козлов,Собственный парк,"клх Кыштым, пр. Минский, д. 842 стр. 514, 928622",Нижний Новгород,Нижегородская область,"ст. Калевала, бул. Сахалинский, д. 158 к. 8, 963130",Пермь,Пермский край,2025-08-07 15:12:34,2025-08-26 18:28:47,2025-07-27 15:57:29,-722.52,656767.07,468595.88,188171.19,4.08,12.43,0.82,1.0,62,,Ожидание
P-000440,2025-08-22 22:45:11,Доставлена,НПО «Маркова»,"ООО «Лебедев, Громов и Ефремов»",Опасный груз,Междугородняя,1859.16,В194ОУ77,ГАЗель Next,Рефрижератор,10.0,VOD-6085,Валентина Рубеновна Беспалова,Собственный парк,"к. Бологое, бул. Крайний, д. 75 к. 2, 204669",Санкт-Петербург,Ленинградская область,"к. Соль-Илецк, бул. Папанина, д. 57, 010972",Красноярск,Красноярский край,2025-07-28 04:43:21,2025-08-29 16:56:37,2025-08-19 11:13:40,-245.72,222122.18,135428.31,86693.87,8.43,25.9,0.84,0.96,6,,Полный пакет
P-000441,2025-08-29 07:52:48,Доставлена,ООО «Игнатов»,"РАО «Семенова, Зуева и Назарова»",ТНП,Междугородняя,4404.79,Р541МВ77,MAN TGS,Фургон,10.0,VOD-3394,Савватий Филимонович Шилов,Собственный парк,"клх Яшалта, ул. Сельская, д. 929 к. 338, 944572",Хабаровск,Хабаровский край,"п. Тверь, наб. Новостройка, д. 64, 273890",Пермь,Пермский край,2025-07-13 11:47:59,2025-08-24 02:57:44,2025-07-08 04:30:10,-1126.46,458826.7,288854.6,169972.1,6.01,18.53,0.6,0.88,98,,Ожидание
P-000442,2025-07-10 03:38:06,Доставлена,Агафонов Лимитед,ЗАО «Сазонова-Тихонова»,Сырье,Междугородняя,4339.65,В549ТЕ77,Volvo FH,Рефрижератор,5.0,VOD-1248,Суханова София Сергеевна,Собственный парк,"клх Пятигорск, алл. Ватутина, д. 2/5 стр. 6, 526262",Челябинск,Челябинская область,"клх Елец, пер. Коммунистический, д. 3/2 к. 5, 699330",Екатеринбург,Свердловская область,2025-08-23 22:05:09,2025-08-25 05:39:59,2025-08-25 11:23:02,5.72,543322.51,382025.7,161296.81,4.63,13.89,0.93,0.73,22,,Проблема
P-000443,2025-08-06 22:58:08,Доставлена,Жуков Лимитед,"НПО «Самойлов, Сысоев и Панфилова»",Сырье,Междугородняя,3125.53,В877УО77,Volvo FH,Цистерна,25.0,VOD-1705,Колесникова Галина Архиповна,Собственный парк,"клх Эльбрус, пр. Братский, д. 6/5, 833370",Владивосток,Приморский край,"к. Апшеронск, алл. Менделеева, д. 94 стр. 4, 022089",Петрозаводск,Республика Карелия,2025-08-09 22:31:54,2025-08-10 18:43:08,2025-08-05 17:47:50,-120.92,347457.18,298263.99,49193.19,13.81,45.36,0.55,0.91,87,,Ожидание
P-000444,2025-08-15 16:34:49,Доставлена,"ООО «Лебедев, Вишняков и Горшков»",ОАО «Зиновьев Титов»,Сырье,Междугородняя,4871.78,Т483НМ77,Volvo FH,Цистерна,20.0,VOD-1440,Гущина Раиса Наумовна,Собственный парк,"с. Беломорск, пер. Урожайный, д. 3 стр. 2, 784629",Калининград,Калининградская область,"г. Чайковский, пр. Кочубея, д. 38 к. 3, 320451",Хабаровск,Хабаровский край,2025-07-18 10:54:31,2025-08-24 05:39:46,2025-08-06 07:03:36,-430.6,588210.42,469001.35,119209.07,14.2,44.78,0.71,0.85,68,,Проблема
P-000445,2025-08-25 07:30:54,В пути,Владимиров и партнеры,АО «Журавлев»,Опасный груз,Междугородняя,1921.49,К740ТУ77,ГАЗель Next,Бортовой,5.0,VOD-2870,Воробьева Екатерина Яковлевна,Собственный парк,"п. Тосно, ул. Советской Армии, д. 89 к. 94, 981690",Ростов-на-Дону,Ростовская область,"клх Объячево, наб. Вавилова, д. 5/4 к. 7, 183880",Пермь,Пермский край,2025-07-16 06:35:03,2025-07-18 17:16:57,2025-07-20 15:34:04,46.29,203720.49,180355.52,23364.97,4.57,13.95,0.91,0.95,44,,Проблема
P-000446,2025-07-04 03:08:26,Доставлена,Власов Групп,ДК Рус,Оборудование,Междугородняя,2413.51,У997МЕ77,ГАЗель Next,Тент,10.0,VOD-2348,Матвеев Никифор Евсеевич,Собственный парк,"д. Киров (Вятка), алл. Щорса, д. 188, 655927",Казань,Республика Татарстан,"г. Усинск, наб. 1 Мая, д. 9 стр. 8/5, 916412",Челябинск,Челябинская область,2025-07-20 06:28:28,2025-07-28 09:39:17,2025-07-13 09:53:51,-359.76,320680.48,193577.03,127103.45,6.01,16.85,0.6,0.99,30,,Ожидание
P-000447,2025-07-10 14:51:57,В пути,Дон-Строй Инвест,"ОАО «Сафонова, Лихачев и Виноградов»",Продукты питания,Междугородняя,1445.24,А836РМ77,ГАЗель Next,Тент,25.0,VOD-6619,Кузьмин Лукьян Еремеевич,Субподрядчик,"к. Чайковский, алл. Дорожников, д. 4 к. 76, 795362",Омск,Омская область,"к. Нягань, пр. Геологический, д. 4 к. 78, 412655",Воронеж,Воронежская область,2025-08-15 03:25:52,2025-08-24 14:42:56,2025-08-06 02:08:41,-444.57,156262.14,136832.67,19429.47,23.54,67.27,0.94,0.66,87,,Проблема
P-000448,2025-07-30 10:26:11,Доставлена,ОАО «Ефремов»,Ковалева Инк,ТНП,Междугородняя,1397.53,М923УТ77,КАМАЗ 5490,Тент,5.0,VOD-7416,Авдей Тимурович Воронов,Собственный парк,"к. Всеволожск, пер. Приморский, д. 17 к. 945, 340869",Мурманск,Мурманская область,"с. Железногорск(Курск.), наб. Мира, д. 147 к. 1, 814485",Сочи,Краснодарский край,2025-08-02 23:56:43,2025-08-13 02:37:35,2025-08-06 18:54:48,-151.71,165332.24,106174.71,59157.53,3.8,9.62,0.76,0.85,45,,Проблема
P-000449,2025-07-19 08:01:41,Доставлена,"ИП «Антонова, Денисова и Бобылева»",ЗАО «Горшков»,ТНП,Междугородняя,3519.15,Р278ХЕ77,Volvo FH,Цистерна,10.0,VOD-9762,Анжела Григорьевна Федотова,Собственный парк,"п. Беломорск, пер. Суворова, д. 5/1 к. 43, 717556",Калининград,Калининградская область,"д. Белокуриха, наб. Новостройка, д. 99 к. 3/8, 773551",Уфа,Республика Башкортостан,2025-07-11 14:09:19,2025-07-28 18:27:59,2025-07-12 04:12:07,-398.26,366824.99,265159.75,101665.24,6.64,18.08,0.66,0.84,70,,Ожидание
P-000450,2025-08-16 11:55:55,Проблемная,"ОАО «Воробьева, Гаврилов и Нестерова»",ЗАО «Давыдова Архипов»,Стройматериалы,Международная,524.4,Х462ХЕ77,КАМАЗ 5490,Тент,5.0,VOD-4585,Михаил Эдгардович Сазонов,Субподрядчик,"к. Орехово-Зуево, пр. Космический, д. 5 стр. 8, 627955",Омск,Омская область,"п. Сузун, ул. Бабушкина, д. 2 к. 81, 120250",Екатеринбург,Свердловская область,2025-07-01 20:47:46,2025-08-28 02:40:21,2025-07-23 12:39:09,-854.02,67165.13,46236.09,20929.04,4.74,14.34,0.95,0.76,84,,Проблема
P-000451,2025-07-21 13:45:58,Запланирована,Банк Уралсиб,ООО «Назаров»,Опасный груз,Международная,2386.21,Е891ВХ77,ГАЗель Next,Фургон,10.0,VOD-1452,Хохлова Полина Вадимовна,Собственный парк,"к. Холмогоры, ш. Снежное, д. 9 к. 1/6, 699166",Екатеринбург,Свердловская область,"к. Кропоткин (Краснод.), ш. Томское, д. 43, 401943",Сочи,Краснодарский край,2025-08-03 04:27:41,2025-08-11 07:15:12,2025-07-26 08:31:26,-382.73,355475.04,265978.58,89496.46,5.4,17.36,0.54,0.92,73,,Проблема
P-000452,2025-07-24 20:20:33,Доставлена,РАО «Григорьева»,"ЗАО «Большаков, Шубина и Наумов»",ТНП,Междугородняя,4311.14,У103АХ77,MAN TGS,Тент,5.0,VOD-1649,Глафира Эдуардовна Комиссарова,Собственный парк,"ст. Терскол, ш. Флотское, д. 2/5, 780240",Екатеринбург,Свердловская область,"д. Чокурдах, пер. Флотский, д. 5/4 стр. 1, 386269",Санкт-Петербург,Ленинградская область,2025-07-03 02:36:51,2025-08-20 03:29:31,2025-08-20 04:53:29,1.4,435592.52,270607.26,164985.26,3.91,12.79,0.78,0.69,18,,Полный пакет
P-000453,2025-07-19 05:03:20,Доставлена,"ООО «Смирнов, Лобанов и Федотов»","ОАО «Титова, Петухова и Трофимова»",Продукты питания,Междугородняя,2406.64,С738МВ77,КАМАЗ 5490,Рефрижератор,20.0,VOD-4033,Евгения Петровна Рыбакова,Субподрядчик,"с. Сосновый Бор, пр. Российский, д. 288 стр. 13, 422960",Екатеринбург,Свердловская область,"клх Кырен, алл. Максима Горького, д. 7 стр. 8, 572018",Омск,Омская область,2025-07-05 15:19:41,2025-08-04 02:34:05,2025-07-31 18:18:01,-80.27,313630.73,240168.5,73462.23,15.28,38.84,0.76,1.0,12,,Проблема
P-000454,2025-07-13 00:33:22,Доставлена,ЗАО «Константинова-Евдокимов»,ООО «Третьякова-Воронцова»,ТНП,Международная,4996.38,Е579ОЕ77,MAN TGS,Фургон,5.0,VOD-2421,Севастьян Устинович Андреев,Субподрядчик,"клх Горно-Алтайск, наб. Тополиная, д. 976, 071862",Петрозаводск,Республика Карелия,"к. Магадан, алл. Больничная, д. 2/8, 426933",Самара,Самарская область,2025-07-27 00:53:39,2025-08-09 14:34:51,2025-08-04 22:59:15,-111.59,626098.86,388596.31,237502.55,3.52,12.28,0.7,0.78,47,,Ожидание
P-000455,2025-08-06 08:18:01,Доставлена,ООО «Николаева-Муравьев»,Аксенова и партнеры,Сырье,Междугородняя,1988.38,К358АЕ77,MAN TGS,Тент,10.0,VOD-6572,Соболева Лариса Евгеньевна,Собственный парк,"клх Шадринск, ш. Урожайное, д. 572, 898835",Воронеж,Воронежская область,"д. Теберда, пр. Революции, д. 9/5 к. 3, 477883",Владивосток,Приморский край,2025-08-06 14:49:20,2025-08-11 22:51:04,2025-08-06 16:25:13,-126.43,293654.83,223364.8,70290.03,7.95,23.62,0.8,0.74,17,,Ожидание
P-000456,2025-07-15 14:16:49,Запланирована,ЗАО «Горшкова»,ГК Автомир,Сырье,Междугородняя,3867.83,С447ХН77,КАМАЗ 5490,Цистерна,20.0,VOD-6132,Василиса Антоновна Вишнякова,Собственный парк,"д. Рыбинск, алл. Широкая, д. 6, 179560",Хабаровск,Хабаровский край,"п. Глазов, алл. Элеваторная, д. 881 стр. 9/5, 343195",Екатеринбург,Свердловская область,2025-08-12 23:34:42,2025-08-21 12:33:28,2025-07-14 03:52:08,-920.69,579993.04,476869.53,103123.51,12.48,41.95,0.62,0.78,54,,Проблема
P-000457,2025-08-02 12:44:07,Доставлена,ИП «Зуев»,"ООО «Кулагина, Мишин и Кудрявцев»",ТНП,Междугородняя,599.95,С600ТН77,Volvo FH,Бортовой,10.0,VOD-7518,Евсей Тихонович Титов,Собственный парк,"г. Ростов-на-Дону, пр. Мичурина, д. 7 стр. 2, 003330",Волгоград,Волгоградская область,"к. Азов (Рост.), ш. Мая 1, д. 48 стр. 8, 094445",Челябинск,Челябинская область,2025-07-25 04:01:14,2025-07-31 12:51:33,2025-07-07 08:31:36,-580.33,70426.45,52931.16,17495.29,7.76,26.78,0.78,0.88,96,,Ожидание
P-000458,2025-08-18 02:53:28,Запланирована,"ЗАО «Ефремов, Селиверстова и Цветков»","ИП «Русаков, Туров и Потапова»",ТНП,Междугородняя,700.94,Х641ВО77,MAN TGS,Рефрижератор,5.0,VOD-8109,тов. Кошелева Анна Архиповна,Субподрядчик,"с. Лянтор, пр. Полевой, д. 8 к. 37, 136038",Челябинск,Челябинская область,"клх Рыльск, ул. Проточная, д. 5 стр. 7/5, 265972",Самара,Самарская область,2025-07-17 01:59:50,2025-08-15 12:14:07,2025-07-07 13:44:14,-934.5,99386.59,71290.72,28095.87,4.07,11.01,0.81,0.91,100,,Проблема
P-000459,2025-07-08 17:49:18,Доставлена,ЗАО «Кудрявцева Никитин»,РАО «Ермакова»,Сырье,Междугородняя,3760.6,К788РВ77,MAN TGS,Фургон,5.0,VOD-9674,Сорокина Наина Владиславовна,Субподрядчик,"п. Лабинск, наб. Жукова, д. 9/2 стр. 82, 659432",Владивосток,Приморский край,"к. Печенга, бул. Ветеранов, д. 4, 567267",Ростов-на-Дону,Ростовская область,2025-07-08 02:10:03,2025-08-08 07:24:07,2025-08-01 07:30:18,-167.9,408570.17,350543.84,58026.33,4.37,11.24,0.87,0.67,95,,Полный пакет
P-000460,2025-07-28 21:39:34,Доставлена,Афанасьев Инк,Беляков Лтд,Оборудование,Междугородняя,2419.61,В148УС77,ГАЗель Next,Рефрижератор,20.0,VOD-2993,Дмитрий Исидорович Фролов,Собственный парк,"п. Таганрог, бул. Петровский, д. 3 к. 131, 995329",Красноярск,Красноярский край,"г. Баксан, ш. Интернациональное, д. 2, 496526",Самара,Самарская область,2025-07-22 21:22:34,2025-08-22 15:55:02,2025-08-09 23:39:20,-304.26,346801.66,273487.78,73313.88,11.64,35.12,0.58,0.65,51,,Ожидание
P-000461,2025-08-22 23:15:23,Доставлена,НПО «Кондратьева»,Александрова Групп,Стройматериалы,Междугородняя,2337.07,Х379ОН77,ГАЗель Next,Тент,10.0,VOD-9182,Пахом Филимонович Морозов,Субподрядчик,"г. Фатеж, ш. Заовражное, д. 352 стр. 1, 486426",Санкт-Петербург,Ленинградская область,"клх Сыктывкар, ш. Городское, д. 1, 554555",Челябинск,Челябинская область,2025-07-12 04:26:29,2025-07-14 21:42:29,2025-07-06 01:01:18,-212.69,262061.03,216839.11,45221.92,6.88,20.51,0.69,0.73,50,,Полный пакет
P-000462,2025-07-25 10:44:10,Доставлена,Гурьева Лтд,АО «Сафонов Михеев»,Сырье,Междугородняя,1391.01,У144ОЕ77,КАМАЗ 5490,Цистерна,5.0,VOD-1280,Лариса Робертовна Сидорова,Собственный парк,"г. Александров Гай, алл. Тельмана, д. 8/5 стр. 7, 628224",Новосибирск,Новосибирская область,"к. Сасово, бул. Октябрьский, д. 422, 267441",Владивосток,Приморский край,2025-07-29 23:40:04,2025-08-07 03:59:20,2025-08-29 14:34:40,538.59,204152.31,141551.58,62600.73,4.18,10.67,0.84,0.7,66,,Проблема
P-000463,2025-07-01 07:17:33,Доставлена,РАО «Антонов Зайцева»,Белоусова Лтд,ТНП,Междугородняя,3026.27,Р852КА77,Scania R-series,Тент,5.0,VOD-6082,Никифор Давидович Афанасьев,Субподрядчик,"п. Уссурийск, наб. Карла Маркса, д. 4/3 стр. 13, 345579",Новосибирск,Новосибирская область,"с. Невьянск, пр. Прудный, д. 8/7, 640235",Красноярск,Красноярский край,2025-07-04 07:23:38,2025-08-16 10:44:05,2025-07-23 00:50:37,-585.89,337840.87,267053.65,70787.22,4.12,13.0,0.82,0.76,81,,Полный пакет
P-000464,2025-08-18 10:06:07,Доставлена,Элко Рус (Elko),ОАО «Киселева»,Продукты питания,Междугородняя,3476.17,Т340ОР77,КАМАЗ 5490,Цистерна,5.0,VOD-4167,Исакова Ия Филипповна,Собственный парк,"с. Онега, алл. Севастопольская, д. 5/7 к. 43, 876900",Омск,Омская область,"ст. Печора, бул. Социалистический, д. 746 к. 8/7, 842463",Казань,Республика Татарстан,2025-07-03 07:27:06,2025-07-22 04:40:10,2025-08-27 15:19:39,874.66,462772.87,408289.85,54483.02,4.67,13.16,0.93,0.64,24,,Ожидание
P-000465,2025-07-07 03:19:14,Доставлена,Русагро,ЗАО «Силин Капустина»,ТНП,Междугородняя,2551.62,А648РС77,КАМАЗ 5490,Бортовой,10.0,VOD-8210,Анжелика Эдуардовна Федотова,Собственный парк,"г. Геленджик, ш. Геологическое, д. 21, 373341",Пермь,Пермский край,"клх Суздаль, ул. Шоссейная, д. 857 стр. 5/8, 478926",Воронеж,Воронежская область,2025-07-06 12:37:42,2025-08-17 20:24:16,2025-08-02 19:30:57,-360.89,309523.4,261625.31,47898.09,6.13,20.1,0.61,0.65,46,,Проблема
P-000466,2025-07-01 08:00:52,Доставлена,Hoff (Домашний интерьер),ОАО «Антонов Никитина»,Стройматериалы,Междугородняя,1188.56,Х100АВ77,КАМАЗ 5490,Цистерна,20.0,VOD-8847,Алексеева Прасковья Вадимовна,Субподрядчик,"с. Саратов, алл. Крымская, д. 738 стр. 930, 673773",Пермь,Пермский край,"к. Октябрьское (Челяб.), ул. Специалистов, д. 893 стр. 756, 996011",Санкт-Петербург,Ленинградская область,2025-07-02 00:01:49,2025-08-19 04:07:34,2025-07-09 08:37:25,-979.5,168142.94,128449.31,39693.63,15.75,45.72,0.79,0.73,47,,Ожидание
P-000467,2025-08-19 23:17:16,Доставлена,ОАО «Зиновьев-Муравьев»,ИП «Петров-Трофимов»,Продукты питания,Междугородняя,602.27,В598УТ77,Scania R-series,Бортовой,25.0,VOD-1151,Логинов Пимен Харлампович,Субподрядчик,"к. Батайск, ш. Угольное, д. 93 стр. 86, 646305",Ростов-на-Дону,Ростовская область,"с. Гагарин, пр. Республиканский, д. 173 к. 4, 210559",Воронеж,Воронежская область,2025-07-07 16:16:51,2025-08-02 01:37:21,2025-08-17 17:47:08,376.16,67114.68,59911.52,7203.16,16.39,49.85,0.66,0.77,36,,Ожидание
P-000468,2025-07-12 19:29:58,Доставлена,ООО «Суханова»,"НПО «Кириллов, Фадеева и Абрамова»",Оборудование,Международная,4362.41,О792НУ77,MAN TGS,Тент,25.0,VOD-5817,г-н Одинцов Демьян Антонович,Собственный парк,"п. Ельня, алл. Высоцкого, д. 9, 710654",Ростов-на-Дону,Ростовская область,"с. Новая Игирма, пр. Войкова, д. 5/9 стр. 9, 148159",Калининград,Калининградская область,2025-07-31 02:55:28,2025-08-02 10:44:55,2025-08-28 15:27:58,628.72,469109.49,409781.15,59328.34,20.89,66.48,0.84,0.68,71,,Полный пакет
P-000469,2025-07-12 21:36:07,В пути,Рено Россия (Renault),"РАО «Коновалов, Савин и Евдокимова»",Стройматериалы,Международная,846.05,У908НЕ77,MAN TGS,Фургон,25.0,VOD-5511,Ильин Павел Харламович,Собственный парк,"с. Верхний Уфалей, ш. Пожарского, д. 1 к. 988, 487272",Москва,Московская область,"п. Терскол, ул. Западная, д. 917 к. 814, 331036",Сочи,Краснодарский край,2025-07-28 23:33:24,2025-08-05 12:37:50,2025-07-29 12:14:54,-168.38,86787.86,52652.51,34135.35,16.22,42.6,0.65,0.94,80,,Полный пакет
P-000470,2025-08-14 19:36:14,Доставлена,Шубина Групп,НОВАТЭК,ТНП,Междугородняя,1679.45,Р247РО77,Scania R-series,Бортовой,20.0,VOD-7673,Лора Афанасьевна Кононова,Собственный парк,"клх Междуреченский, пер. Спартака, д. 888 стр. 8, 310759",Екатеринбург,Свердловская область,"ст. Партизанск, пр. О.Кошевого, д. 48, 112444",Петрозаводск,Республика Карелия,2025-07-04 03:44:22,2025-07-24 00:45:07,2025-08-15 03:32:11,530.78,181900.0,127763.13,54136.87,11.31,31.51,0.57,0.97,68,,Проблема
P-000471,2025-07-29 21:40:57,Доставлена,АО «Шестаков-Елисеева»,Армтек,Стройматериалы,Междугородняя,2758.99,В958МО77,ГАЗель Next,Бортовой,20.0,VOD-3940,Феликс Владиленович Дорофеев,Собственный парк,"г. Руза, алл. Путевая, д. 5 стр. 649, 642415",Новосибирск,Новосибирская область,"к. Поярково, пер. Шолохова, д. 471 к. 9, 051782",Ростов-на-Дону,Ростовская область,2025-07-18 05:36:30,2025-08-03 23:11:24,2025-07-14 08:38:12,-494.55,285644.19,194568.79,91075.4,10.58,26.92,0.53,0.87,41,,Ожидание
P-000472,2025-08-08 03:20:47,Доставлена,САП СНГ (SAP),Ozon,Опасный груз,Международная,944.39,Е229УУ77,ГАЗель Next,Фургон,25.0,VOD-7703,Ковалев Юрий Брониславович,Субподрядчик,"п. Тулун, бул. Ореховый, д. 30, 675068",Пермь,Пермский край,"п. Двинской, ул. Молодежная, д. 4, 394903",Самара,Самарская область,2025-07-14 14:28:04,2025-08-06 10:45:27,2025-07-24 05:29:58,-317.26,126677.47,112834.49,13842.98,12.89,38.79,0.52,0.72,71,,Ожидание
P-000473,2025-08-02 07:55:30,Доставлена,Уральские авиалинии,ИП «Шубина-Лаврентьева»,Оборудование,Международная,4314.51,У842РС77,Scania R-series,Тент,10.0,VOD-9136,Любовь Захаровна Федосеева,Субподрядчик,"к. Холмогоры, наб. Заозерная, д. 5/3 к. 2/1, 709019",Сочи,Краснодарский край,"клх Чебоксары, пр. Комарова, д. 1, 044647",Новосибирск,Новосибирская область,2025-07-05 00:39:46,2025-07-21 19:24:32,2025-08-06 10:24:17,375.0,437481.28,342782.54,94698.74,5.93,17.13,0.59,0.83,39,,Проблема
P-000474,2025-07-08 14:42:51,Доставлена,Шарапова Лимитед,Банк Санкт-Петербург,Сырье,Междугородняя,572.73,У551УН77,ГАЗель Next,Цистерна,20.0,VOD-1650,Капустина Юлия Валериевна,Субподрядчик,"клх Малая Вишера, пер. Ленский, д. 98 стр. 7/9, 685089",Волгоград,Волгоградская область,"ст. Анапа, ул. 8-е Марта, д. 82 стр. 2/1, 466710",Пермь,Пермский край,2025-07-30 20:49:38,2025-08-14 18:22:30,2025-08-04 03:38:25,-254.73,71024.42,60337.96,10686.46,16.25,46.46,0.81,0.89,81,,Ожидание
P-000475,2025-08-13 21:51:59,Доставлена,ЗАО «Андреев Константинова»,Цветкова и партнеры,Сырье,Междугородняя,3031.67,М773НО77,Scania R-series,Цистерна,20.0,VOD-7228,Екатерина Валентиновна Комарова,Собственный парк,"к. Верхний Баскунчак, пр. Тульский, д. 7/3 стр. 950, 041583",Челябинск,Челябинская область,"д. Южно-Сахалинск, ул. Семашко, д. 6/2 стр. 62, 696112",Ростов-на-Дону,Ростовская область,2025-08-27 03:52:12,2025-08-30 11:57:07,2025-08-04 16:08:23,-619.81,420123.08,323028.54,97094.54,17.49,56.19,0.87,0.98,36,,Полный пакет
P-000476,2025-07-23 06:37:05,Доставлена,АО «Уваров»,Верисел-трейдинг,ТНП,Междугородняя,1946.73,Т447ТС77,ГАЗель Next,Фургон,5.0,VOD-2568,Платон Афанасьевич Яковлев,Субподрядчик,"клх Богучар, пер. Уральский, д. 68 к. 263, 495572",Пермь,Пермский край,"п. Подольск, наб. Городская, д. 270 к. 7, 368180",Воронеж,Воронежская область,2025-08-06 09:22:51,2025-08-17 19:41:31,2025-08-01 23:21:51,-380.33,286432.85,174396.62,112036.23,4.77,12.51,0.95,0.89,31,,Полный пакет
P-000477,2025-08-18 21:26:18,Доставлена,ЗАО «Васильева»,ОАО «Филатов»,ТНП,Междугородняя,2969.43,О321МН77,КАМАЗ 5490,Тент,10.0,VOD-6464,Автоном Исидорович Кондратьев,Субподрядчик,"к. Химки, бул. Прудовой, д. 90, 644489",Омск,Омская область,"д. Елец, бул. Волочаевский, д. 41 стр. 3/4, 783604",Самара,Самарская область,2025-08-01 15:44:52,2025-08-05 06:41:40,2025-08-03 02:47:25,-51.9,407935.19,365110.54,42824.65,9.63,25.33,0.96,0.69,24,,Полный пакет
P-000478,2025-07-28 16:15:50,Доставлена,Назарова Инк,Лазарева Лимитед,Оборудование,Междугородняя,2619.65,С612КЕ77,MAN TGS,Рефрижератор,10.0,VOD-1462,Анастасия Матвеевна Шарапова,Субподрядчик,"д. Выборг, ул. Громова, д. 75, 891797",Волгоград,Волгоградская область,"г. Снежинск, бул. Просторный, д. 285 стр. 6, 779692",Самара,Самарская область,2025-08-12 10:50:55,2025-08-25 14:47:28,2025-07-28 08:04:10,-678.72,338621.36,291983.31,46638.05,9.17,28.49,0.92,0.94,77,,Полный пакет
